Title,Author,ISBN,Copies,Category,Publisher
A Study in Scarlet,Arthur Conan Doyle,9780192834850,4,Mystery,Ward Lock & Co
Animal Farm,George Orwell,9780451526342,4,Fiction,Secker & Warburg
Aranyak,Bibhutibhushan Bandyopadhyay,9788172153397,2,Bengali Fiction,Mitra & Ghosh
Brave New World,Aldous Huxley,9780060850524,3,Science Fiction,Chatto & Windus
Chander Amabasya,Syed Waliullah,9789840412037,2,Mystery,Nawroz Kitabistan
Devdas,Sarat Chandra Chattopadhyay,9788170662785,3,Bengali Fiction,Gurdas Chattopadhyay
Gora,Rabindranath Tagore,9788172151508,3,Bengali Fiction,Visva-Bharati
Harry Potter and the Philosopher's Stone,J.K. Rowling,9780747532699,5,Fantasy,Bloomsbury Publishing
Himu,Humayun Ahmed,9789840413041,5,Bengali Fiction,Anyaprokash
Jane Eyre,Charlotte Bronte,9780142437209,3,Fiction,Smith Elder & Co
Janani,Manik Bandyopadhyay,9788172154219,3,Bengali Fiction,Dey's Publishing
Kobi,Tarashankar Bandyopadhyay,9788170664529,2,Bengali Fiction,Dey's Publishing
Kritodaser Hashi,Shawkat Osman,9789840414048,2,Bengali Fiction,Muktadhara
Lalsalu,Syed Waliullah,9789840412051,3,Bengali Fiction,Nawroz Kitabistan
Misir Ali,Humayun Ahmed,9789840413058,4,Mystery,Anyaprokash
Nandita Narake,Humayun Ahmed,9789840413065,3,Bengali Fiction,Anyaprokash
Nineteen Eighty-Four,George Orwell,9780451524935,4,Science Fiction,Secker & Warburg
Of Mice and Men,John Steinbeck,9780140177398,3,Fiction,Covici Friede
Pather Panchali,Bibhutibhushan Bandyopadhyay,9788172153403,4,Bengali Fiction,Mitra & Ghosh
Pride and Prejudice,Jane Austen,9780141439518,3,Romance,T. Egerton
Rifle Roti Aurat,Anwar Pasha,9789840414055,2,History,Muktadhara
Sangshaptak,Shahidullah Kaiser,9789840414062,2,History,Muktadhara
Shesher Kobita,Rabindranath Tagore,9788172151522,3,Bengali Poetry,Visva-Bharati
The Alchemist,Paulo Coelho,9780062315007,4,Self-Help,HarperCollins
The Catcher in the Rye,J.D. Salinger,9780316769174,3,Fiction,Little Brown and Company
The Great Gatsby,F. Scott Fitzgerald,9780743273565,3,Fiction,Charles Scribners Sons
The Old Man and the Sea,Ernest Hemingway,9780684801223,3,Fiction,Charles Scribners Sons
To Kill a Mockingbird,Harper Lee,9780061935466,4,Fiction,J.B. Lippincott & Co
Wuthering Heights,Emily Bronte,9780141439556,3,Fiction,Thomas Newby
Zamindar,Humayun Ahmed,9789840413072,3,Bengali Fiction,Anyaprokash
